uranium_lead_ratio,carbon_14_ratio,radioactive_decay_series,stratigraphic_layer_depth,geological_period,paleomagnetic_data,inclusion_of_other_fossils,isotopic_composition,surrounding_rock_type,stratigraphic_position,fossil_size,fossil_weight,age
0.738061228375223,0.48770724218258243,0.9078835874218233,91.17,Cretaceous,Normal polarity,False,0.9159513884026407,Conglomerate,Middle,50.65,432.0,43523
0.5600962062491213,0.3417380543473547,1.1213015733880922,165.44,Cambrian,Normal polarity,False,0.8039680197972794,Limestone,Top,48.85,353.29,44112
0.4247727742702627,0.2184934689992139,0.10385545909578109,218.98,Cambrian,Normal polarity,True,0.7924405062482458,Shale,Bottom,37.66,371.33,43480
0.3499581310333525,0.7046491886504214,0.38361673570113686,51.09,Permian,Normal polarity,True,0.07463637780599436,Limestone,Bottom,39.1,232.84,30228
0.8868112419177792,0.777493825978112,0.5932538141276905,313.72,Devonian,Normal polarity,True,1.6466404542148307,Shale,Top,90.84,277.67,67217
1.079099063604517,0.5895272448830222,0.5734660488090557,164.37,Jurassic,Normal polarity,True,1.3915732548978594,Limestone,Bottom,51.89,312.85,77800
0.4675787777496756,0.6578902666825758,0.20516952693387008,197.56,Cambrian,Normal polarity,True,0.5140123745479614,Limestone,Bottom,43.12,426.17,47130
0.3449638273931234,0.8726605884426992,0.6887718820607761,136.4,Neogene,Normal polarity,True,0.003671767143114568,Conglomerate,Bottom,96.82,454.15,35982
0.40731141161263246,0.7939690519944627,0.1846024689476848,103.81,Devonian,Normal polarity,True,0.6904267154005779,Conglomerate,Top,44.56,208.19,30105
0.30263875319509986,0.02822459066538363,0.33887036024551576,215.61,Cambrian,Normal polarity,True,0.01649268017559119,Sandstone,Middle,98.64,157.63,28568
0.28680014557541844,0.5255145877172219,0.6100440995361227,136.32,Triassic,Reversed polarity,False,1.2803353500612595,Sandstone,Bottom,51.88,651.58,33178
0.6423540163310683,0.1601374042790563,0.6234096619072798,311.1,Paleogene,Reversed polarity,True,0.39761491012107053,Sandstone,Bottom,63.44,491.3,59091
0.2512112183231728,0.23968897458517432,0.7203875959394346,8.52,Cretaceous,Reversed polarity,True,1.1517592896889646,Limestone,Bottom,54.7,540.59,20152
0.41020876702475384,0.45885847363320564,0.7419320370460727,104.72,Devonian,Reversed polarity,True,0.7033296262653517,Sandstone,Bottom,49.64,167.69,41307
0.5703763534215538,0.3729535821176667,0.3316211952255123,164.77,Cambrian,Normal polarity,False,1.477926628234512,Shale,Middle,5.73,254.35,40775
0.45359654647578074,0.6835565904626982,1.1989657760667531,173.53,Cambrian,Normal polarity,True,0.8441750263210941,Sandstone,Bottom,45.5,69.89,50643
